event_name,start_date,end_date,location_tag,source_url,notes
Dubuque County Fair,2025-07-22,2025-07-27,dubuque_local,https://www.dbqfair.com/,72nd annual; Dubuque County Fairgrounds
ESPN SportsCenter at Field of Dreams,2025-07-25,2025-07-25,field_of_dreams,https://www.radiodubuque.com/2025/06/18/field-of-dreams-hosting-espn-sports-center/,Youth tournament context; national TV visit
Field of Dreams concert weekend,2025-08-30,2025-08-31,field_of_dreams,https://www.dubuquecountyiowa.gov/Calendar.aspx?EID=3186,Large concert; county road impacts per county calendar
